nom_produit,categorie,prix,magasin,date_scraping,url_produit
Pressea nectar ananas brique 1L,Boissons,101555.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/96-pressea-nectar-ananas-brique-1l-9501100460110.html
CRISTALINE 50CL,Boissons,29024.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/217-cristaline-50cl-3268840001008.html
Fanta Orange Canette 33CL,Boissons,315116.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/88-fanta-orange-canette-33cl-5449000011527.html
BRAVO Melon Ananas 1L,Boissons,205017.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/1584-bravo-melon-ananas-1l-9008700124478.html
AUCHAN Sirop Menth Glace 70CL,Boissons,23756.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/2193-auchan-sirop-menth-glace-70cl-3596710454549.html
Pré Chation Rose de Loire 75CL,Boissons,76907.0,Auchan,2026-04-14,https://www.auchan.sn/vins/7510-pre-chation-rose-de-loire-75cl-3349450003825.html
PRESSEA FRESH MANGUE COCO 33CL,Boissons,25022513.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/207-pressea-fresh-mangue-coco-33cl-9501100460479.html
IVORIO Jus Tamarin 33CL,Boissons,9754.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/1768-ivorio-jus-tamarin-33cl-5999991011414.html
Canadou sirop sucre canne 70cl,Boissons,31505.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/1395-canadou-sirop-sucre-canne-70cl-3012996012001.html
NECTAR TROPICAL BRIQUE 1 LITRE,Boissons,1550129012.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/658-nectar-tropical-brique-1-litre-3516130001246.html
Eau Minéral Casamançaise 300ML,Boissons,90110.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/7053-eau-mineral-casamancaise-300ml-6046000010827.html
Mini Présséa Cocktail 200ML,Boissons,1656.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/6896-mini-pressea-cocktail-200ml-9501100461537.html
"Auchan limonade zéro à l'arôme naturel 1,5L",Boissons,8504.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/2262-auchan-limonade-zero-a-l-arome-naturel-15l-3596710355327.html
Auchan pur jus de pomme 1L,Boissons,16758.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2239-auchan-pur-jus-de-pomme-1l-3596710178780.html
SUNQUICK TROPICALE 840CL,Boissons,299037.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/653-sunquick-tropicale-840cl-5775345137333.html
RED BULL 25CL,Boissons,135040.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-energisantes/792-red-bull-25cl-9002490100070.html
Pressea nectar cocktail brique 1L,Boissons,101589075.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/95-pressea-nectar-cocktail-brique-1l-9501100460127.html
Présséa Fresh jus goyave canette 250ml,Boissons,320117.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/3535-pressea-fresh-jus-goyave-canette-250ml-9501100460417.html
Pressea jus bissap brique 1L,Boissons,101510.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/94-pressea-jus-bissap-brique-1l-9501100460271.html
BIERE MEISTER 50CL,Boissons,675104.0,Auchan,2026-04-14,https://www.auchan.sn/bieres/348-biere-meister-50cl-6223000085301.html
Coca zéro canette 33CL,Boissons,31564.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/215-coca-zero-canette-33cl-5449000131805.html
MELANGE FRUIT SUN TOP 125ML,Boissons,16541.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/213-melange-fruit-sun-top-125ml-6281012033307.html
DON SIMON FRUITS ROUGES BQ20CL,Boissons,42526.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/1285-don-simon-fruits-rouges-bq20cl-8410261609317.html
KIRENE 0.5L,Boissons,19097.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/346-kirene-05l-9501100460011.html
CASAMANCAISE Eau Minerale 1.5L,Boissons,240112.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/1578-casamancaise-eau-minerale-15l-6046000010810.html
AUCHAN Sirop Peche 60CL,Boissons,25503.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/2200-auchan-sirop-peche-60cl-3596710454426.html
SAN PELLEGRINO Pamplemous,Boissons,97527.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1554-san-pellegrino-pamplemous-41508511667.html
EAU DE SOURCE O ROYAL 1.25L,Boissons,25025.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/1177-eau-de-source-o-royal-125l-6046000013200.html
VIP VIMTO 30CL PET,Boissons,29024.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/8203-vip-vimto-30cl-pet-5010438016776.html
