nom_produit,categorie,prix,magasin,date_scraping,url_produit
BISCUITS DIBALA PRIMO CAKE BRETON COCO 1PCS,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34182-biscuits-dibala-primo-cake-breton-coco-1pcs.html
BISCUITS DIBALA PRIMO CAKE BRETON COCO 24PCS,Epicerie,43254108542382.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34181-biscuits-dibala-primo-cake-breton-coco-24pcs.html
FLOCONS D'AVOINE PRECUIT OATO QUICKER 500G,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34078-flocons-davoine-precuit-oato-quicker-500g.html
THE LIPTON BONJOURNE FRAISE 25SACHETS,Epicerie,16001520515682.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34075-the-lipton-bonjourne-fraise-25sachets.html
BISCUIT GAUFRETTES NETTO VANILLE 175G,Epicerie,11601102511362.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34066-biscuit-gaufrettes-netto-vanille-175g.html
PASTILLE VALDA CLASSIQUE PAQUETS DE 60PCS,Epicerie,11501092511272.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34065-pastille-valda-classique-paquets-de-60pcs.html
BISCUIT GAUFRETTES NETTO FOURRES AU CACAO 175G,Epicerie,11601102511362.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34064-biscuit-gaufrettes-netto-fourres-au-cacao-175g.html
BISCUIT GAUFRETTES NETTO NOISETTES 175G,Epicerie,11601102511362.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34063-biscuit-gaufrettes-netto-noisettes-175g.html
CAFE ASTA DECAFEINE 100G,Epicerie,35003325534302.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34052-cafe-asta-decafeine-100g.html
CAFE BONJOURNE MR COOK POT 200G,Epicerie,24502327524012.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie-sucree/34042-cafe-bonjourne-mr-cook-pot-200g.html
MAYONNAISE AMORA BOCAL 385G,Epicerie,29102764528512.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34040-mayonnaise-amora-bocal-385g.html
CAFE POT C BON 100G,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34033-cafe-pot-c-bon-100g.html
BETTRAVE LES JARDINS D ADRIENS 4/4 800G,Epicerie,18751781518372.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34032-bettrave-les-jardins-d-adriens-4-4-800g.html
NESCAFE SOLUBLE SELECTION BF 100G,Epicerie,30002850529402.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34028-nescafe-soluble-selection-bf-100g.html
NESCAFE SOLUBLE SELECTION BF 50G,Epicerie,19001805518622.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34026-nescafe-soluble-selection-bf-50g.html
POIS CHICHES HEAD CHEF 4/4 800G,Epicerie,16501567516172.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34024-pois-chiches-head-chef-4-4-800g.html
BOISSON GAZEUSE SCHWEPPES AGRUMES 30CL,Epicerie,35033253432.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34022-boisson-gazeuse-schweppes-agrumes-30cl.html
CONSERVE COEUR DE PALMIER 1/2 400G,Epicerie,34503277533812.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34019-conserve-coeur-de-palmier-1-2-400g.html
CONSERVE COEUR DE PALMIER 4/4 800G,Epicerie,68756531567372.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34018-conserve-coeur-de-palmier-4-4-800g.html
BISCUIT RACHELLA CHOCOLAT LAIT ET RIZ SOUFFLEE 24PCS,Epicerie,26502517525972.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34002-biscuit-rachella-chocolat-lait-et-riz-soufflee-24pcs.html
BISCUIT RACHELLA CHOCOLAT BLANC NOIX DE COCO 24PCS,Epicerie,27502612526952.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34001-biscuit-rachella-chocolat-blanc-noix-de-coco-24pcs.html
MIEL HONEY MOURAFA BOUTEILLE 250ML,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33984-miel-honey-mourafa-bouteille-250ml.html
BISCUIT COOKIE BOOM LAINE DE CHOCOLAT 36GX24PCS,Epicerie,24502327524012.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33970-biscuit-cookie-boom-laine-de-chocolat-36gx24pcs.html
THE TWININGS MENTHE CITRON VERT GINGEMBRE 20 SACHETS,Epicerie,29502802528912.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33941-the-twinings-menthe-citron-vert-gingembre-20-sachets.html
THE POT TAMARIN NANAH ARAW 400G,Epicerie,29702821529102.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33940-the-pot-tamarin-nanah-araw-400g.html
PINBOULETTE DE SARDINELLE 400G,Epicerie,13551287513272.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33939-pinboulette-de-sardinelle-400g.html
CONSERVE LIZA NDAMBE (NIEBE A LA SAUCE TOMTE ) 380G,Epicerie,78074157642.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33938-conserve-liza-ndambe-niebe-a-la-sauce-tomte-380g.html
BISCUITS RAMA CRISPY CONE FRAISE 100PCS,Epicerie,35003325534302.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33926-biscuits-rama-crispy-cone-mango-100pcs.html
CHEWING GUM FREEDENT PAQUETS 5*10D MENTHE VERT 14G,Epicerie,21902080521462.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33925-chewing-gum-freedent-paquets-510d-menthe-vert-14g.html
CHEWING GUM FREEDENT PAQUETS 5*10D FRAISE 14G,Epicerie,21902080521462.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33924-chewing-gum-freedent-paquets-510d-fraise-14g.html
BISCUITS RAMA CRISPY CONE VANILLE CHOCO 100PCS,Epicerie,35003325534302.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33923-biscuits-rama-crispy-cone-vanille-choco-100pcs.html
COUSCOUS BONJOURNE BY MR COOK MOYEN 500G,Epicerie,55052255392.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33916-couscous-bonjourne-by-mr-cook-moyen-500g.html
COUSCOUS BONJOURNE BY MR COOK FIN 500G,Epicerie,57554655632.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/33915-couscous-bonjourne-by-mr-cook-fin-500g.html
